"Show me the current humidity levels in Cairo, Egypt." || "Cairo:B-CITY,Egypt:B-COUNTRY"
"What's the temperature in Tokyo, Japan, at the moment?" || "Tokyo:B-CITY,Japan:B-COUNTRY"
"How's the weather looking in Paris, France, this evening?" || "Paris:B-CITY,France:B-COUNTRY"
"Can you give me the weather forecast for Mumbai, India?" || "Mumbai:B-CITY,India:B-COUNTRY"
"What are the current weather conditions in Toronto, Canada?" || "Toronto:B-CITY,Canada:B-COUNTRY"
"What's the chance of precipitation in Manchester, UK?" || "Manchester:B-CITY,UK:B-COUNTRY"
"Give me the UV index for Sydney, Australia, right now." || "Sydney:B-CITY,Australia:B-COUNTRY"
"I want to know the air quality in Beijing, China, today." || "Beijing:B-CITY,China:B-COUNTRY"
"What's the weather in Rio de Janeiro, Brazil, at present?" || "Rio de Janeiro:B-CITY,Brazil:B-COUNTRY"
"How cold is it in Moscow, Russia, right now?" || "Moscow:B-CITY,Russia:B-COUNTRY"
"I need the snow report for Zurich, Switzerland." || "Zurich:B-CITY,Switzerland:B-COUNTRY"
"What's the current temperature in New Delhi, India?" || "New Delhi:B-CITY,India:B-COUNTRY"
"Is it foggy in London, England, at the moment?" || "London:B-CITY,England:B-COUNTRY"
"Can I get the weather update for Berlin, Germany?" || "Berlin:B-CITY,Germany:B-COUNTRY"
"What's the weather forecast for tomorrow in Bangkok, Thailand?" || "Bangkok:B-CITY,Thailand:B-COUNTRY"
"I'd like the current weather in Buenos Aires, Argentina." || "Buenos Aires:B-CITY,Argentina:B-COUNTRY"
"What is the current wind speed in Sydney, Australia?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"I need to know if it's raining in Rome, Italy right now." || "Rome:B-CITY,Italy:B-COUNTRY"
"What is the visibility like in Seoul, South Korea at this moment?" || "Seoul:B-CITY,South Korea:B-COUNTRY"
"Can you provide me with the current weather conditions in Moscow, Russia?" || "Moscow:B-CITY,Russia:B-COUNTRY"
"How hot is it currently in Dubai, United Arab Emirates?" || "Dubai:B-CITY,United Arab Emirates:B-COUNTRY"
"Is it sunny in Barcelona, Spain, at the moment?" || "Barcelona:B-CITY,Spain:B-COUNTRY"
"What's the current temperature in Cape Town, South Africa?" || "Cape Town:B-CITY,South Africa:B-COUNTRY"
"I need the current weather update for Mexico City, Mexico." || "Mexico City:B-CITY,Mexico:B-COUNTRY"
"Show me the current precipitation status in Vancouver, Canada." || "Vancouver:B-CITY,Canada:B-COUNTRY"
"What is the current humidity level in Dubai, United Arab Emirates?" || "Dubai:B-CITY,United Arab Emirates:B-COUNTRY"
"Can you provide me with the current weather conditions in Zurich, Switzerland?" || "Zurich:B-CITY,Switzerland:B-COUNTRY"
"What's the current temperature in Cape Town, South Africa?" || "Cape Town:B-CITY,South Africa:B-COUNTRY"
"I need the current weather conditions for New Delhi, India." || "New Delhi:B-CITY,India:B-COUNTRY"
"Show me the current precipitation status in Vancouver, Canada." || "Vancouver:B-CITY,Canada:B-COUNTRY"
"What is the current humidity level in Singapore?" || "Singapore:B-CITY"
"Can you provide me with the current weather conditions in Rio de Janeiro, Brazil?" || "Rio de Janeiro:B-CITY,Brazil:B-COUNTRY"
"How's the weather looking in Amsterdam, Netherlands right now?" || "Amsterdam:B-CITY,Netherlands:B-COUNTRY"
"What's the temperature and sky"Is it sunny in Barcelona, Spain, at the moment?" || "Barcelona:B-CITY,Spain:B-COUNTRY"
"What's the current precipitation status in Cape Town, South Africa?" || "Cape Town:B-CITY,South Africa:B-COUNTRY"
"Show me the weather right now in Tokyo, Japan." || "Tokyo:B-CITY,Japan:B-COUNTRY"
"What is the current weather in Paris, France?" || "Paris:B-CITY,France:B-COUNTRY"
"Can you tell me if it's snowing in Oslo, Norway right now?" || "Oslo:B-CITY,Norway:B-COUNTRY"
"How's the weather looking in Dubai, United Arab Emirates this evening?" || "Dubai:B-CITY"
"Is it sunny in Barcelona, Spain, at the moment?" || "Barcelona:B-CITY,Spain:B-COUNTRY"
"What's the current precipitation status in Cape Town, South Africa?" || "Cape Town:B-CITY,South Africa:B-COUNTRY"
"Show me the weather right now in Tokyo, Japan." || "Tokyo:B-CITY,Japan:B-COUNTRY"
"What is the current weather in Paris, France?" || "Paris:B-CITY,France:B-COUNTRY"
"Can you give me the weather forecast for Mumbai, India?" || "Mumbai:B-CITY,India:B-COUNTRY"
"How's the weather looking in London, England this evening?" || "London:B-CITY,England:B-COUNTRY"
"Is it sunny in Barcelona, Spain, at the moment?" || "Barcelona:B-CITY,Spain:B-COUNTRY"
"What's the current atmospheric pressure in Beijing, China?" || "Beijing:B-CITY,China:B-COUNTRY"
"I'd like to know the current dew point in Cape Town, South Africa." || "Cape Town:B-CITY,South Africa:B-COUNTRY"
"What is the current heat index in Dubai, United Arab Emirates?" || "Dubai:B-CITY,United Arab Emirates:B-COUNTRY"
"Can you provide me with the current weather conditions in Vancouver, Canada?" || "Vancouver:B-CITY,Canada:B-COUNTRY"
"Is it raining in Sydney, Australia right now?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"Can you give me the weather forecast for tomorrow in Paris, France?" || "Paris:B-CITY,France:B-COUNTRY"
"I want to know if it's snowing in Tokyo, Japan." || "Tokyo:B-CITY,Japan:B-COUNTRY"
"I need to know if there are any thunderstorms expected in London, United Kingdom today." || "London:B-CITY,United Kingdom:B-COUNTRY"
"What is the air quality like in Beijing, China at present?" || "Beijing:B-CITY,China: B -COUNTRY"
"Can you give me the weather forecast for Sydney, Australia today?" || "Sydney:B-CITY,Australia:B-COUNTRY"
"What are the current weather conditions in Paris, France?" || "Paris:B-CITY,France:B-COUNTRY"
"I want to know the air quality in Beijing, China today." || "Beijing:B-CITY,China:B-COUNTRY"
"What's the chance of precipitation in London, United Kingdom?" || "London:B-CITY,United Kingdom: B-COUNTRY"
